Table;Column;Data Type;Is Nullable;Is Unique;Is Primary Key;Is Foreign Key;Referenced Table.Column;Example 1;Example 2;;;;;;;;;;;;;;;;;;;;;;;;
annexes;beuniversity_admin_user_id;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;formative_project_id;int;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;reported_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;other_indications;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_files;id;int;YES;NO;NO;YES;annexes.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_files;original_name;varchar;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_files;name;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_files;size;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_files;mime_type;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_files;active;tinyint;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_files;annex_id;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_files;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_files;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals;id;int;YES;NO;NO;YES;admin_users.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals;name;varchar;NO;NO;NO;YES;annexes.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals;management_starts_at;date;NO;NO;NO;YES;annexes_renewals_statuses.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals;starts_at;date;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals;ends_at;date;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals;notes;text;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals;annex_renewal_status_id;int;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals;annex_id;int;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals;admin_user_id;int;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals_files;id;int;YES;NO;NO;YES;annexes_renewals.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals_files;original_name;varchar;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals_files;name;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals_files;size;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals_files;mime_type;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals_files;active;tinyint;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals_files;annex_renewal_id;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals_files;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals_files;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals_statuses;id;int;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals_statuses;name;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_renewals_statuses;description;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_statuses;id;int;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_statuses;name;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes_statuses;description;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_sections;id;int;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_sections;section;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_sections;name;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_sections;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_sections;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_user_roles_admin_sections;beuniversity_admin_user_role_id;int;NO;NO;NO;YES;beuniversity_admin_sections.id;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_user_roles_admin_sections;beuniversity_admin_section_id;int;NO;NO;NO;YES;beuniversity_admin_users_roles.id;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users;id;int;NO;NO;NO;YES;beuniversity_admin_users_roles.id;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users;first_name;varchar;NO;NO;NO;YES;partner_universities.id;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users;last_name;varchar;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users;email;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users;password;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users;partner_university_id;int;NO;YES;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users;beuniversity_role_id;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users;chosen_locale;char;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users;active;tinyint;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users;logged_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users_roles;id;int;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users_roles;name;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users_roles;constant;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users_roles;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_admin_users_roles;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;id;int;NO;NO;NO;YES;partner_universities.id;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;first_name;varchar;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;last_name;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;dni;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;email;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;phone;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;birth_date;date;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;address;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;nationality_id;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;partner_university_id;int;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;external_id;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;token;varchar;NO;YES;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;repudiated;tinyint;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;repudiated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
beuniversity_students;welcomed_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
billing_requirements;id;int;NO;NO;NO;YES;companies.id;;;;;;;;;;;;;;;;;;;;;;;;;;
billing_requirements;company_id;int;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
billing_requirements;need_to_po;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
billing_requirements;description_po;text;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
billing_requirements;need_to_proforma_invoice;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
billing_requirements;expiration_days;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
billing_requirements;contact_people;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
billing_requirements;contact_people_email;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
billing_requirements;way_of_sending_the_invoice;text;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
billing_requirements;management_bewanted;text;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
billing_requirements;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
billing_requirements;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_authors;id;int;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_authors;name;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_authors;slug;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_authors;specialization;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_authors;description;text;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_authors;img;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
